OBJECTID_1,OBJECTID,NAME,ID,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Elk_Zone,Name_sort,regular_deer_url,elkZone_url_1,gmu_wtd_url
47,47,34,45,6c2e83de-614a-42ac-9d19-09464bfba870,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Sawtooth,34,"<a href=""https://idfg.idaho.gov/node/76907"" target=""_top"">Unit 34</a>","<a href=""https://idfg.idaho.gov/node/76867"" target=""_top"">Sawtooth A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76868"""" target=""_top"">Sawtooth B-Tag Limits</a>",No White-tailed Deer Opportunity
48,48,33,44,6e7e0ff7-2685-43ea-b3ec-e173b152a4b2,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Sawtooth,33,"<a href=""https://idfg.idaho.gov/node/76931"" target=""_top"">Unit 33</a>","<a href=""https://idfg.idaho.gov/node/76867"" target=""_top"">Sawtooth A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76868"""" target=""_top"">Sawtooth B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77016"" target=""_top"">Unit 33</a>"
49,49,59,74,eaa9771e-e95f-4917-b049-8d62e3317645,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Beaverhead,59,"<a href=""https://idfg.idaho.gov/node/76954"" target=""_top"">Unit 59</a>","<a href=""https://idfg.idaho.gov/node/76838"" target=""_top"">Beaverhead A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76978"" target=""_top"">Unit 59</a>"
50,50,36,47,e2815c53-76c8-49f7-b615-9ffcb053ccc3,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Sawtooth,36,"<a href=""https://idfg.idaho.gov/node/76908"" target=""_top"">Unit 36</a>","<a href=""https://idfg.idaho.gov/node/76867"" target=""_top"">Sawtooth A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76868"""" target=""_top"">Sawtooth B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77075"" target=""_top"">Unit 36</a>"
51,51,YNP,-99,413bdacb-100d-4a22-91a6-dde1e8876ad5,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",,YNP,,,
52,52,51,65,c68cb120-cc1e-4460-8a84-bc0789d88990,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Lemhi,51,"<a href=""https://idfg.idaho.gov/node/76928"" target=""_top"">Unit 51</a>","<a href=""https://idfg.idaho.gov/node/76850"" target=""_top"">Lemhi A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76999"" target=""_top"">Unit 51</a>"
53,53,59A,75,e38d5e8c-add5-47c0-b56b-dc516f500b27,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Beaverhead,59A,"<a href=""https://idfg.idaho.gov/node/76937"" target=""_top"">Unit 59A</a>","<a href=""https://idfg.idaho.gov/node/76838"" target=""_top"">Beaverhead A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77005"" target=""_top"">Unit 59A</a>"
54,54,36A,48,6caef4a2-28e6-468f-a465-6649d915b76c,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Pioneer,36A,"<a href=""https://idfg.idaho.gov/node/76883"" target=""_top"">Unit 36A</a>","<a href=""https://idfg.idaho.gov/node/76863"" target=""_top"">Pioneer A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76864"""" target=""_top"">Pioneer B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77008"" target=""_top"">Unit 36A</a>"
55,55,58,73,dabda005-313b-4e9d-bc74-01c84b8bba3f,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Beaverhead,58,"<a href=""https://idfg.idaho.gov/node/76948"" target=""_top"">Unit 58</a>","<a href=""https://idfg.idaho.gov/node/76838"" target=""_top"">Beaverhead A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77002"" target=""_top"">Unit 58</a>"
56,56,62A,80,0171cda7-83bb-4609-881a-a1fcad567b67,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Island Park,62A,"<a href=""https://idfg.idaho.gov/node/76933"" target=""_top"">Unit 62A</a>","<a href=""https://idfg.idaho.gov/node/76849"" target=""_top"">Island Park A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76975"" target=""_top"">Unit 62A</a>"
